ADM2CD_c,HASC_0,HASC_1,HASC_2,GAUL_0,GAUL_1,GAUL_2,SOVEREIGN,NAM_1_GAUL,NAM_1_STAT,NAM_1_SRCE,NAM_1_NTVE,NAM_1_WIKI,P_CODE_1,P_CODE_1_t,P_NAME_1,ADM1CD,ADM1CD_t,ADM1NM,NAM_2_GAUL,NAM_2_STAT,NAM_2_SRCE,NAM_2_NTVE,NAM_2_WIKI,P_CODE_2,P_CODE_2_t,P_NAME_2,ADM2CD,ADM2CD_t,ADM2NM,P_DATE,SALB_DATE,P_CODE_2_c,P_CODE_1_c
CHN001006,CN,CN.AH,,147295,898,12984,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Hefei,,,,,CN034070,,Hefei,,CHN001006,,2020-09-10,,CN034070,CN034
CHN001002,CN,CN.AH,,147295,898,12986,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Bengbu,,,,,CN034020,,Bengbu,,CHN001002,,2020-09-10,,CN034020,CN034
CHN001008,CN,CN.AH,,147295,898,12987,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Huainan,,,,,CN034090,,Huainan,,CHN001008,,2020-09-10,,CN034090,CN034
CHN001007,CN,CN.AH,,147295,898,12989,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Huaibei,,,,,CN034080,,Huaibei,,CHN001007,,2020-09-10,,CN034080,CN034
CHN001012,CN,CN.AH,,147295,898,12994,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Name Unknown,,,,,,CN034002,,,CHN001012,,2020-09-10,,CN034002,CN034
CHN001013,CN,CN.AH,,147295,898,12995,CHN,Anhui Sheng,Anhui,,,,CN034,,Anhui Province,,CHN001,,Suzhou,,,,,CN034130,,Suzhou,,CHN001013,,2020-09-10,,CN034130,CN034
CHN010001,CN,CN.HB,,147295,907,13080,CHN,Hebei Sheng,Hebei,,,,CN013,,Hebei Province,,CHN010,,Baoding,,,,,CN013010,,Baoding,,CHN010001,,2020-09-10,,CN013010,CN013
CHN010002,CN,CN.HB,,147295,907,13083,CHN,Hebei Sheng,Hebei,,,,CN013,,Hebei Province,,CHN010,,Cangzhou,,,,,CN013020,,Cangzhou,,CHN010002,,2020-09-10,,CN013020,CN013
CHN010006,CN,CN.HB,,147295,907,13084,CHN,Hebei Sheng,Hebei,,,,CN013,,Hebei Province,,CHN010,,Langfang,,,,,CN013060,,Langfang,,CHN010006,,2020-09-10,,CN013060,CN013
CHN010005,CN,CN.HB,,147295,907,13085,CHN,Hebei Sheng,Hebei,,,,CN013,,Hebei Province,,CHN010,,Hengshui,,,,,CN013050,,Hengshui,,CHN010005,,2020-09-10,,CN013050,CN013
