,target,source,number_people,weight
0,Aadtkiyaal,Buurow village,5,1.0
1,Aadtkiyaal,Dhariiqada village,7,0.6363636363636364
2,Aadtkiyaal,Dini village,9,0.391304347826087
3,Aadtkiyaal,Dooraweere village,11,1.0
4,Aadtkiyaal,Dooraweeri village,3,1.0
5,Aadtkiyaal,Dubigaas village,6,1.0
6,Aadtkiyaal,Dubigaas village.,8,0.5
7,Aadtkiyaal,Korkoor village,6,0.1875
8,Aadtkiyaal,Moro hagir village,5,1.0
9,Aadtkiyaal,Mubaarak village,8,1.0
10,Aadtkiyaal,Sarmaan village,5,0.625
11,Aadtkiyaal,Sarmaan village.,6,0.6
12,Aadtkiyaal,Xoogir village,26,0.4482758620689655
13,Aamanow,Banow,4,0.0625
14,Aamanow,Barbaar,3,0.1875
15,Aamanow,Bootis,4,0.10256410256410256
16,Aamanow,Buur eyle ,3,0.031914893617021274
17,Aamanow,Daynuunay ,7,0.03056768558951965
18,Aamanow,Gaduudey,6,0.2608695652173913
19,Aamanow,Jiir,7,0.05555555555555555
20,Aamanow,Moolamad ,3,0.025210084033613446
21,Aamanow,Shabelow ,10,0.053763440860215055
22,Aanoley,Abaalbarbari,4,0.04819277108433735
23,Aanoley,Adabli Weyne,4,0.007858546168958742
24,Aanoley,Biyooley,3,0.014634146341463415
25,Aanoley,Buula fuur,3,0.1875
26,Aanoley,Saakow,9,0.011811023622047244
27,Aanoley,Shibeelow,2,0.02197802197802198
28,Aanoley,Tugeerhoos,24,0.18461538461538463
29,Aanoley,Ufurow,4,0.0021551724137931034
30,Aaran camp,October,20,0.03669724770642202
31,Aaw Cusman,Awdheegle,18,0.0049930651872399446
32,Abag Gaduud,Abag gaduud ,11,1.0
33,Abag Haluul,Abal,8,0.1038961038961039
34,Abag Haluul,Ceel berde,3,0.08823529411764706
35,Abag Haluul,Dalandoole,5,0.054945054945054944
36,Abag Haluul,Elgaras,4,0.5714285714285714
37,Abag Haluul,Garaswiini,6,0.2
38,Abag Haluul,Oorgaafin,11,1.0
39,Abag Haluul,Rab dhuure,3,0.125
40,Abag Haluul,Sarmaan,3,0.036585365853658534
41,Abag Haluul,Shiimo,5,0.1724137931034483
42,Abag Haluul,Waajid,4,0.023529411764705882
43,Abag Neebsoy,Koban,20,0.20408163265306123
44,Abag Neebsoy,Saakow,4,0.005249343832020997
45,Abag Neebsoy,Ufurow,4,0.0021551724137931034
46,Abag-Beday,Doondardiir village.,3,1.0
47,Abag-Beday,Doonfuul village.,12,0.27906976744186046
48,Abag-Beday,Dudumaale village,27,0.7105263157894737
49,Abag-Beday,Dudumaale village.,5,0.38461538461538464
50,Abag-Beday,Elgaras village,8,0.11764705882352941
51,Abag-Beday,Elgaras village.,10,0.25
52,Abag-Beday,Gomore village.,9,0.21951219512195122
53,Abag-Beday,Huuyaley village,6,0.5454545454545454
54,Abag-Beday,Tijeegbuul village,11,1.0
55,Abag-Beday,Tijeegbuul village.,4,0.5
56,Abag-Beday,Tijegbuul village,5,1.0
57,Abag-Deerey,Abaay,6,1.0
58,Abag-Deerey,Abagbeeday,7,0.058333333333333334
59,Abag-Deerey,Adaan qaboow,18,1.0
60,Abag-Deerey,Banreere,5,0.14285714285714285
61,Abag-Deerey,Banyaal,8,0.0898876404494382
62,Abag-Deerey,Koban,5,0.05102040816326531
63,Abag-Deerey,Kurtun,6,0.03468208092485549
64,Abag-Deerey,Sharti,9,1.0
65,Abag-Deerey,Tuflaawa,9,0.5
66,Abag-Deerey,Tugaarey,10,0.6666666666666666
67,Abag-Tag,Abag jibeed,4,0.0975609756097561
68,Abag-Tag,Arbohirey,6,0.23076923076923078
69,Abag-Tag,Bohol-raar,4,0.13333333333333333
70,Abag-Tag,Deg Suuf,4,0.06666666666666667
71,Abag-Tag,Dheeraw Saanle,13,1.0
72,Abag-Tag,Dooy Gabey,4,1.0
73,Abag-Tag,Ethiopia,14,0.003997715591090805
74,Abag-Tag,Hawal been,4,1.0
75,Abag-Tag,Humbowe,18,0.22784810126582278
76,Abag-Tag,Kaysaney,4,0.0851063829787234
77,Abag-Tag,Koraw,5,0.25
78,Abag-Tag,Raama Guudow,3,0.11538461538461539
79,Abal,Abal village,75,0.7075471698113207
80,Abal 3,Abal,5,0.06493506493506493
81,Abal 3,Banow,4,0.0625
82,Abal 3,Barbaar,3,0.1875
83,Abal 3,Berdale ,6,0.027906976744186046
84,Abal 3,Gaduuf dhuunte,3,1.0
85,Abal 3,Misiri,6,0.0821917808219178
86,Abal 3,Ufurow,5,0.0026939655172413795
87,Abal 3,Xudur,6,0.02510460251046025
88,Abal-1,Abal,13,0.16883116883116883
89,Abal-1,Baardheere ,5,1.0
90,Abal-1,Berdale ,7,0.03255813953488372
91,Abal-1,Misgaale,4,0.4
92,Abal-1,Wajid,11,0.34375
93,Abal-1,Xudur ,6,0.061224489795918366
94,Abal-5,Abal,12,0.15584415584415584
95,Abal-5,Barbaare,5,0.016339869281045753
96,Abal-5,Buur Eyli,5,0.05555555555555555
97,Abal-5,Goof gaduud ,3,0.08823529411764706
98,Abal-5,Kurmaan,5,0.008156606851549755
99,Abal-5,Kurteele,4,0.5714285714285714
100,Abal-5,Mitaano,4,1.0
101,Abal-5,Sarmaan,3,0.036585365853658534
102,Abal-5,Shabeelow,3,0.02654867256637168
103,Abaq,Arbaqarso,12,0.3870967741935484
104,Abaq,Buala,13,0.7222222222222222
105,Abaq,Xagar,32,0.49230769230769234
106,Abaq Beday,Ufurow,3,0.0016163793103448276
107,Abaq Dheere,Buulo Haji ,5,1.0
108,Abaq Dheere,Buur eyli,6,0.08108108108108109
109,Abaq Dheere,Danbal aaran,4,1.0
110,Abaq Dheere,Danyer,5,0.625
111,Abaq Dheere,Goof gaduud,11,0.07746478873239436
112,Abaq Dheere,Goorisini,4,0.09090909090909091
113,Abaq Dheere,Kurti,6,0.20689655172413793
114,Abaq Dheere,Miidow,8,0.125
115,Abaq Dheere,Mool.mad,4,1.0
116,Abaq Dheere,Wariiri,6,0.17142857142857143
117,Abaq Dheere,Yabal,6,1.0
118,Abaq Haluul,Adiiley,3,0.23076923076923078
119,Abaq Haluul,Buulo Barake,4,1.0
120,Abaq Haluul,Deebey,9,0.45
121,Abaq Haluul,Ethiopia,3,0.0008566533409480297
122,Abaq Haluul,Galgal-onlay,6,1.0
123,Abaq Haluul,Hanana 1,4,1.0
124,Abaq Haluul,Humbowe,3,0.0379746835443038
125,Abaq Haluul,Idad koble,4,1.0
126,Abaq Haluul,Jafey,12,0.11650485436893204
127,Abaq Haluul,Kurtun,9,0.05202312138728324
128,Abaq Haluul,Lehelay,4,0.12121212121212122
129,Abaq Haluul,Meel labowle,5,1.0
