,target,source,number_people,weight
0,11-Janaay-1,Bardheere,9,0.47368421052631576
1,11-Janaay-1,Bardheere ,3,1.0
2,11-Janaay-1,Diinsoor ,8,0.014035087719298246
3,11-Janaay-1,Maanyow,4,0.014388489208633094
4,11-Janaay-1,Qansaxdheere,4,0.031746031746031744
5,11-Janaay-1,Uffurow,13,0.012572533849129593
6,11-Janaay-2,Aliyow dooyow,4,0.1111111111111111
7,11-Janaay-2,Baanow,5,0.03676470588235294
8,11-Janaay-2,Baarsaare,5,0.021929824561403508
9,11-Janaay-2,Goodey,3,1.0
10,11-Janaay-2,Goorinane-1,3,0.034482758620689655
11,11-Janaay-2,Gurbaan,7,0.004430379746835443
12,11-Janaay-2,Kurman,9,0.011508951406649617
13,11-Janaay-2,Misgaali,4,0.4
14,11-Janaay-2,Misiri,6,0.0821917808219178
15,2Ganane,Luuq,38,0.07238095238095238
16,7Yaq,Haduuman,17,0.07327586206896551
17,9 Mundul,Berdale,4,0.024539877300613498
18,9 Mundul,Goorinane-1,6,0.06896551724137931
19,9 Mundul,Madaxwarabe,20,0.5128205128205128
20,9 Mundul,Rabdhuure,7,0.0707070707070707
21,9 Mundul,Sarman,20,0.37735849056603776
22,Aadtkiyaal,Buurow village,5,1.0
23,Aadtkiyaal,Dhariiqada village,7,0.6363636363636364
24,Aadtkiyaal,Dini village,9,0.391304347826087
25,Aadtkiyaal,Dooraweere village,11,1.0
26,Aadtkiyaal,Dooraweeri village,3,1.0
27,Aadtkiyaal,Dubigaas village,6,1.0
28,Aadtkiyaal,Dubigaas village.,8,0.5
29,Aadtkiyaal,Korkoor village,6,0.1875
30,Aadtkiyaal,Moro hagir village,5,1.0
31,Aadtkiyaal,Mubaarak village,8,1.0
32,Aadtkiyaal,Sarmaan village,5,0.625
33,Aadtkiyaal,Sarmaan village.,6,0.6
34,Aadtkiyaal,Xoogir village,7,0.4117647058823529
35,Aadtkiyaal,Xoogir village.,19,0.4634146341463415
36,Aamanow,Banow,4,0.05194805194805195
37,Aamanow,Baraka,3,0.057692307692307696
38,Aamanow,Bootis,4,0.10256410256410256
39,Aamanow,Buur eyle ,3,0.038461538461538464
40,Aamanow,Daynuunay ,7,0.03056768558951965
41,Aamanow,Gaduudey,6,0.42857142857142855
42,Aamanow,Jiir,7,0.05555555555555555
43,Aamanow,Moolamad ,3,0.025210084033613446
44,Aamanow,Shibeelow,10,0.017123287671232876
45,Aanoley,Abaalbarbari,4,0.046511627906976744
46,Aanoley,Adabli Weyne,4,0.2
47,Aanoley,Biyooley,3,0.013333333333333334
48,Aanoley,Buulo Fuur,3,0.0189873417721519
49,Aanoley,Saakow,9,0.011811023622047244
50,Aanoley,Shibeelow,2,0.003424657534246575
51,Aanoley,Tugeerhoos,24,0.18461538461538463
52,Aanoley,Uffurow,2,0.0019342359767891683
53,Aanoley,Ufurow,2,0.0017873100983020554
54,Aaran camp,October,20,0.03669724770642202
55,Aaw Cusman,Awdhiigle,18,0.046753246753246755
56,Abag Gaduud,Abag Gaduud,11,1.0
57,Abag Haluul,Abal,8,0.03864734299516908
58,Abag Haluul,Ceel berde,3,0.08823529411764706
59,Abag Haluul,Dalandole-2,5,0.028901734104046242
60,Abag Haluul,Elgaras,4,0.5714285714285714
61,Abag Haluul,Garaswiini,6,0.2
62,Abag Haluul,Oorgaafin,11,1.0
63,Abag Haluul,Rab dhuure,3,0.125
64,Abag Haluul,Sarmaan,3,0.05357142857142857
65,Abag Haluul,Shiimo,5,0.1724137931034483
66,Abag Haluul,Waajid,4,0.023529411764705882
67,Abag Neebsoy,Koban,20,0.18867924528301888
68,Abag Neebsoy,Saakow,4,0.005249343832020997
69,Abag Neebsoy,Uffurow,4,0.0038684719535783366
70,Abag-Beday,Doondardiir village.,3,1.0
