focal,neighbour,road_connected,src_vx,tgt_vx,src_distance,tgt_distance,in_distance,road_distance
0,1,1.0,1187442,1251894,1466.7702280899193,4600.577593789557,89978.57999999987,96045.92782187935
0,2,1.0,1187442,1297547,1466.7702280899193,3970.9594986091934,66784.57800000002,72222.30772669915
0,71,1.0,1187442,1714083,1466.7702280899193,2458.50481679508,264753.02099999995,268678.29604488495
0,72,1.0,1187442,1529196,1466.7702280899193,209.84945344711997,89190.92700000017,90867.54668153722
0,73,1.0,1187442,1042476,1466.7702280899193,212.93471713596057,154383.77900000013,156063.483945226
1,0,1.0,1251894,1187442,4600.577593789557,1466.7702280899193,89978.57999999971,96045.92782187919
1,3,1.0,1251894,1124682,4600.577593789557,9608.742532275297,118934.64000000006,133143.9601260649
1,72,1.0,1251894,1529196,4600.577593789557,209.84945344711997,127691.02000000003,132501.44704723672
2,0,1.0,1297547,1187442,3970.9594986091934,1466.7702280899193,66784.57800000007,72222.30772669919
2,3,1.0,1297547,1124682,3970.9594986091934,9608.742532275297,123990.87900000012,137570.5810308846
3,1,1.0,1124682,1251894,9608.742532275297,4600.577593789557,118934.64000000006,133143.96012606492
3,2,1.0,1124682,1297547,9608.742532275297,3970.9594986091934,123990.87899999977,137570.58103088423
4,5,1.0,1274600,585839,11690.611427341271,1697.3498188290946,159955.50000000003,173343.4612461704
4,8,1.0,1274600,444228,11690.611427341271,167.14986970806848,52585.59799999999,64443.359297049334
5,4,1.0,585839,1274600,1697.3498188290946,11690.611427341271,159955.50000000003,173343.4612461704
5,7,1.0,585839,3040693,1697.3498188290946,124.7473483346421,77504.82900000001,79326.92616716375
5,30,1.0,585839,465610,1697.3498188290946,2466.8392207931574,125421.64299999991,129585.83203962217
6,8,1.0,3107676,444228,1722.3242557235035,167.14986970806848,111919.2969999998,113808.77112543138
6,16,1.0,3107676,2175839,1722.3242557235035,330.7983301559857,194132.7829999995,196185.905585879
6,17,1.0,3107676,450709,1722.3242557235035,820.7902310705001,205074.0509999996,207617.16548679362
6,31,1.0,3107676,154542,1722.3242557235035,1419.0385187706859,178093.7310000005,181235.0937744947
6,32,1.0,3107676,1705707,1722.3242557235035,377.846141833082,173018.42699999936,175118.59739755595
6,62,1.0,3107676,427583,1722.3242557235035,5449.9747033927,250615.96899999978,257788.267959116
7,5,1.0,3040693,585839,124.7473483346421,1697.3498188290946,77504.82900000006,79326.9261671638
7,16,1.0,3040693,2175839,124.7473483346421,330.7983301559857,92895.36800000009,93350.91367849072
7,30,1.0,3040693,465610,124.7473483346421,2466.8392207931574,89731.97599999984,92323.56256912764
8,4,1.0,444228,1274600,167.14986970806848,11690.611427341271,52585.598,64443.359297049334
8,6,1.0,444228,3107676,167.14986970806848,1722.3242557235035,111919.29699999992,113808.77112543149
8,16,1.0,444228,2175839,167.14986970806848,330.7983301559857,120666.30199999997,121164.25019986402
9,53,1.0,17322,306728,85.41660389459008,522.4980883001934,62310.67100000003,62918.585692194814
9,56,1.0,17322,2341355,85.41660389459008,69.70570912278009,52738.986000000026,52894.1083130174
10,13,1.0,228517,675353,13147.010931969644,4054.4604145247326,299845.11099999957,317046.5823464939
10,15,1.0,228517,237430,13147.010931969644,3163.1464164694385,97661.5059999999,113971.66334843899
11,14,1.0,113155,114360,3826.151070733024,22668.814946591712,294952.9009999999,321447.86701732466
11,15,1.0,113155,237430,3826.151070733024,3163.1464164694385,249911.7549999998,256901.05248720228
11,49,1.0,113155,635265,3826.151070733024,12368.030970087546,105724.75300000013,121918.93504082071
12,13,1.0,505076,675353,1061.9940543838777,4054.4604145247326,274866.62000000046,279983.07446890906
12,14,1.0,505076,114360,1061.9940543838777,22668.814946591712,160694.22000000018,184425.02900097577
13,10,1.0,675353,228517,4054.4604145247326,13147.010931969644,299845.11100000073,317046.58234649507
13,12,1.0,675353,505076,4054.4604145247326,1061.9940543838777,274866.62000000046,279983.07446890906
13,14,1.0,675353,114360,4054.4604145247326,22668.814946591712,155140.8929999999,181864.16836111635
13,15,1.0,675353,237430,4054.4604145247326,3163.1464164694385,254444.7250000004,261662.3318309946
14,11,1.0,114360,113155,22668.814946591712,3826.151070733024,294952.90099999995,321447.8670173247
14,12,1.0,114360,505076,22668.814946591712,1061.9940543838777,160694.22,184425.0290009756
14,13,1.0,114360,675353,22668.814946591712,4054.4604145247326,155140.89299999987,181864.16836111632
15,10,1.0,237430,228517,3163.1464164694385,13147.010931969644,97661.50599999976,113971.66334843884
15,11,1.0,237430,113155,3163.1464164694385,3826.151070733024,249911.75500000015,256901.05248720263
15,13,1.0,237430,675353,3163.1464164694385,4054.4604145247326,254444.72499999995,261662.33183099414
15,47,1.0,237430,335281,3163.1464164694385,10116.877537425491,294201.9929999999,307482.0169538948
15,49,1.0,237430,635265,3163.1464164694385,12368.030970087546,224550.7879999998,240081.96538655678
15,65,1.0,237430,1744888,3163.1464164694385,495.9737829298195,155678.42099999991,159337.5411993992
16,6,1.0,2175839,3107676,330.7983301559857,1722.3242557235035,194132.78300000017,196185.90558587966
16,7,1.0,2175839,3040693,330.7983301559857,124.7473483346421,92895.3680000001,93350.91367849073
16,8,1.0,2175839,444228,330.7983301559857,167.14986970806848,120666.3019999998,121164.25019986386
16,17,1.0,2175839,450709,330.7983301559857,820.7902310705001,112407.52300000018,113559.11156122666
16,18,1.0,2175839,471586,330.7983301559857,2693.015872156553,374185.6730000003,377209.4872023128
16,19,1.0,2175839,2805516,330.7983301559857,624.809865371054,111324.79100000004,112280.39919552708
16,29,1.0,2175839,2314607,330.7983301559857,2638.8166287876675,166305.56899999978,169275.18395894344
16,30,1.0,2175839,465610,330.7983301559857,2466.8392207931574,145596.865,148394.50255094914
17,6,1.0,450709,3107676,820.7902310705001,1722.3242557235035,205074.0509999998,207617.16548679382
17,16,1.0,450709,2175839,820.7902310705001,330.7983301559857,112407.52299999993,113559.11156122641
17,18,1.0,450709,471586,820.7902310705001,2693.015872156553,439360.9520000003,442874.7581032273
17,58,1.0,450709,2370445,820.7902310705001,8079.597177291727,273571.50699999905,282471.8944083613
17,60,1.0,450709,2922480,820.7902310705001,2439.081283393393,215787.41599999933,219047.28751446324
17,62,1.0,450709,427583,820.7902310705001,5449.9747033927,140654.2630000001,146925.02793446332
18,16,1.0,471586,2175839,2693.015872156553,330.7983301559857,374185.67300000007,377209.48720231256
18,17,1.0,471586,450709,2693.015872156553,820.7902310705001,439360.9520000015,442874.7581032285
18,19,1.0,471586,2805516,2693.015872156553,624.809865371054,275678.117,278995.9427375276
18,36,1.0,471586,2927075,2693.015872156553,2861.906316526641,247654.46499999976,253209.38718868297
18,61,1.0,471586,146199,2693.015872156553,1300.420443111867,329838.6070000001,333832.0433152685
19,16,1.0,2805516,2175839,624.809865371054,330.7983301559857,111324.79099999997,112280.399195527
19,18,1.0,2805516,471586,624.809865371054,2693.015872156553,275678.1169999996,278995.9427375272
19,29,1.0,2805516,2314607,624.809865371054,2638.8166287876675,92757.486,96021.11249415872
20,21,1.0,2059787,571030,15499.41797873689,23074.1120661149,135463.30899999992,174036.83904485172
20,24,1.0,2059787,181844,15499.41797873689,14094.638245991391,55725.19700000003,85319.25322472831
20,31,1.0,2059787,154542,15499.41797873689,1419.0385187706859,212330.57500000007,229249.03149750765
21,20,1.0,571030,2059787,23074.1120661149,15499.41797873689,135463.30900000007,174036.83904485186
21,24,1.0,571030,181844,23074.1120661149,14094.638245991391,127921.68400000014,165090.43431210643
21,41,1.0,571030,315900,23074.1120661149,4301.762918642339,200438.54400000005,227814.4189847573
21,43,1.0,571030,699774,23074.1120661149,2565.0136994843124,360892.20999999874,386531.33576559793
22,23,1.0,2837609,1776937,25148.822692843274,795.5493934606991,109572.01500000007,135516.38708630405
22,24,1.0,2837609,181844,25148.822692843274,14094.638245991391,103068.35900000003,142311.8199388347
22,32,1.0,2837609,1705707,25148.822692843274,377.846141833082,169219.03700000007,194745.70583467642
22,45,1.0,2837609,1866479,25148.822692843274,2581.207669649453,176793.93199999986,204523.96236249257
23,22,1.0,1776937,2837609,795.5493934606991,25148.822692843274,109572.01499999993,135516.3870863039
23,32,1.0,1776937,1705707,795.5493934606991,377.846141833082,242984.33399999965,244157.72953529345
24,20,1.0,181844,2059787,14094.638245991391,15499.41797873689,55725.19699999997,85319.25322472825
24,21,1.0,181844,571030,14094.638245991391,23074.1120661149,127921.68400000001,165090.4343121063
24,22,1.0,181844,2837609,14094.638245991391,25148.822692843274,103068.35899999997,142311.81993883464
24,31,1.0,181844,154542,14094.638245991391,1419.0385187706859,201254.626,216768.30276476208
24,43,1.0,181844,699774,14094.638245991391,2565.0136994843124,482186.8659999979,498846.51794547355
25,27,1.0,277015,1838215,1837.5209834155462,4317.801827007673,98702.32199999988,104857.6448104231
25,29,1.0,277015,2314607,1837.5209834155462,2638.8166287876675,184827.18300000022,189303.52061220343
25,36,1.0,277015,2927075,1837.5209834155462,2861.906316526641,94725.87800000003,99425.3052999422
26,27,1.0,420410,1838215,10945.050995813212,4317.801827007673,121882.82899999953,137145.68182282042
26,28,1.0,420410,465441,10945.050995813212,5813.178224377608,93387.97900000006,110146.20822019089
26,29,1.0,420410,2314607,10945.050995813212,2638.8166287876675,167056.33100000018,180640.19862460106
27,25,1.0,1838215,277015,4317.801827007673,1837.5209834155462,98702.32200000003,104857.64481042324
27,26,1.0,1838215,420410,4317.801827007673,10945.050995813212,121882.82899999974,137145.68182282062
28,26,1.0,465441,420410,5813.178224377608,10945.050995813212,93387.97900000005,110146.20822019088
28,30,1.0,465441,465610,5813.178224377608,2466.8392207931574,70634.44300000003,78914.4604451708
29,16,1.0,2314607,2175839,2638.8166287876675,330.7983301559857,166305.56899999996,169275.1839589436
29,19,1.0,2314607,2805516,2638.8166287876675,624.809865371054,92757.4860000001,96021.11249415882
29,25,1.0,2314607,277015,2638.8166287876675,1837.5209834155462,184827.18300000016,189303.52061220337
29,26,1.0,2314607,420410,2638.8166287876675,10945.050995813212,167056.33100000018,180640.19862460106
29,30,1.0,2314607,465610,2638.8166287876675,2466.8392207931574,111470.2920000001,116575.94784958093
30,5,1.0,465610,585839,2466.8392207931574,1697.3498188290946,125421.64299999997,129585.83203962223
30,7,1.0,465610,3040693,2466.8392207931574,124.7473483346421,89731.97600000007,92323.56256912787
30,16,1.0,465610,2175839,2466.8392207931574,330.7983301559857,145596.86500000005,148394.5025509492
30,28,1.0,465610,465441,2466.8392207931574,5813.178224377608,70634.44300000006,78914.46044517083
30,29,1.0,465610,2314607,2466.8392207931574,2638.8166287876675,111470.2920000001,116575.94784958093
31,6,1.0,154542,3107676,1419.0385187706859,1722.3242557235035,178093.731,181235.0937744942
31,20,1.0,154542,2059787,1419.0385187706859,15499.41797873689,212330.57499999998,229249.03149750756
31,24,1.0,154542,181844,1419.0385187706859,14094.638245991391,201254.62600000013,216768.30276476222
31,32,1.0,154542,1705707,1419.0385187706859,377.846141833082,120361.77499999995,122158.65966060372
32,6,1.0,1705707,3107676,377.846141833082,1722.3242557235035,173018.42699999953,175118.59739755612
32,22,1.0,1705707,2837609,377.846141833082,25148.822692843274,169219.03700000021,194745.70583467657
32,23,1.0,1705707,1776937,377.846141833082,795.5493934606991,242984.33399999983,244157.72953529362
32,31,1.0,1705707,154542,377.846141833082,1419.0385187706859,120361.77499999982,122158.65966060359
32,33,1.0,1705707,1571816,377.846141833082,551.5492215002234,60017.85400000004,60947.24936333335
32,52,1.0,1705707,103614,377.846141833082,184.16895375325012,139634.99400000062,140197.00909558695
32,55,1.0,1705707,83709,377.846141833082,546.9596482084522,115159.7709999998,116084.57679004133
32,62,1.0,1705707,427583,377.846141833082,5449.9747033927,215353.79700000034,221181.61784522614
33,32,1.0,1571816,1705707,551.5492215002234,377.846141833082,60017.85399999995,60947.249363333256
33,52,1.0,1571816,103614,551.5492215002234,184.16895375325012,164462.34600000054,165198.06417525403
33,54,1.0,1571816,104491,551.5492215002234,4417.26486377204,119726.39700000006,124695.21108527233
33,55,1.0,1571816,83709,551.5492215002234,546.9596482084522,55141.91699999994,56240.42586970862
34,35,1.0,300764,342260,11112.631514374403,355.758220505248,118010.07400000004,129478.46373487968
34,36,1.0,300764,2927075,11112.631514374403,2861.906316526641,119403.66300000002,133378.20083090104
34,37,1.0,300764,98290,11112.631514374403,10561.671914823954,165543.39100000015,187217.6944291985
35,34,1.0,342260,300764,355.758220505248,11112.631514374403,118010.07399999996,129478.46373487961
35,37,1.0,342260,98290,355.758220505248,10561.671914823954,180714.23700000026,191631.66713532948
35,39,1.0,342260,156083,355.758220505248,1465.2718859378888,91896.63999999997,93717.67010644311
35,57,1.0,342260,2251355,355.758220505248,2962.0016825171197,110433.25899999998,113751.01890302234
36,18,1.0,2927075,471586,2861.906316526641,2693.015872156553,247654.46499999994,253209.38718868315
36,25,1.0,2927075,277015,2861.906316526641,1837.5209834155462,94725.87800000003,99425.3052999422
36,34,1.0,2927075,300764,2861.906316526641,11112.631514374403,119403.663,133378.20083090104
36,37,1.0,2927075,98290,2861.906316526641,10561.671914823954,230741.12500000017,244164.70323135078
37,34,1.0,98290,300764,10561.671914823954,11112.631514374403,165543.39099999997,187217.69442919834
37,35,1.0,98290,342260,10561.671914823954,355.758220505248,180714.2370000003,191631.66713532954
37,36,1.0,98290,2927075,10561.671914823954,2861.906316526641,230741.12499999997,244164.70323135058
37,38,1.0,98290,3111181,10561.671914823954,10109.357530122343,244241.25100000002,264912.2804449463
37,39,1.0,98290,156083,10561.671914823954,1465.2718859378888,191665.18299999987,203692.12680076173
37,40,1.0,98290,756045,10561.671914823954,39.59333978452822,163266.3710000004,173867.6362546089
38,37,1.0,3111181,98290,10109.357530122343,10561.671914823954,244241.2509999995,264912.2804449458
38,40,1.0,3111181,756045,10109.357530122343,39.59333978452822,89924.9899999999,100073.94086990677
39,35,1.0,156083,342260,1465.2718859378888,355.758220505248,91896.64000000007,93717.67010644321
39,37,1.0,156083,98290,1465.2718859378888,10561.671914823954,191665.18300000005,203692.1268007619
39,40,1.0,156083,756045,1465.2718859378888,39.59333978452822,157434.41300000015,158939.27822572258
40,37,1.0,756045,98290,39.59333978452822,10561.671914823954,163266.37100000042,173867.63625460892
40,38,1.0,756045,3111181,39.59333978452822,10109.357530122343,89924.9899999999,100073.94086990677
40,39,1.0,756045,156083,39.59333978452822,1465.2718859378888,157434.41299999994,158939.27822572237
41,21,1.0,315900,571030,4301.762918642339,23074.1120661149,200438.54399999994,227814.41898475718
41,42,1.0,315900,3105530,4301.762918642339,4712.481923345363,69209.97499999999,78224.2198419877
41,43,1.0,315900,699774,4301.762918642339,2565.0136994843124,301188.73699999874,308055.51361812535
41,44,1.0,315900,331325,4301.762918642339,6732.330048891493,160607.16699999987,171641.2599675337
41,46,1.0,315900,323106,4301.762918642339,2589.0458636679236,190261.56799999994,197152.3767823102
42,41,1.0,3105530,315900,4712.481923345363,4301.762918642339,69209.97499999998,78224.21984198768
43,21,1.0,699774,571030,2565.0136994843124,23074.1120661149,360892.21000000066,386531.33576559986
43,24,1.0,699774,181844,2565.0136994843124,14094.638245991391,482186.86600000045,498846.5179454761
43,41,1.0,699774,315900,2565.0136994843124,4301.762918642339,301188.7369999993,308055.51361812593
43,44,1.0,699774,331325,2565.0136994843124,6732.330048891493,258038.55299999996,267335.8967483758
43,45,1.0,699774,1866479,2565.0136994843124,2581.207669649453,241679.64500000054,246825.8663691343
44,41,1.0,331325,315900,6732.330048891493,4301.762918642339,160607.16699999975,171641.25996753358
44,43,1.0,331325,699774,6732.330048891493,2565.0136994843124,258038.553,267335.8967483758
44,46,1.0,331325,323106,6732.330048891493,2589.0458636679236,119434.55599999997,128755.93191255939
44,47,1.0,331325,335281,6732.330048891493,10116.877537425491,152848.1520000001,169697.35958631706
