focal,neighbour,road_connected,src_vx,tgt_vx,src_distance,tgt_distance,in_distance,road_distance
0,1,1.0,2172970,2386433,1466.7702280899193,1338.4022310044143,96941.7789999999,99746.95145909423
0,2,1.0,2172970,2819846,1466.7702280899193,3970.9594986091934,65307.53699999999,70745.2667266991
0,71,1.0,2172970,4020743,1466.7702280899193,2458.50481679508,214237.63999999964,218162.91504488463
0,72,1.0,2172970,3541826,1466.7702280899193,37.37705217830794,89349.56300000017,90853.7102802684
0,73,1.0,2172970,1755800,1466.7702280899193,212.93471713596057,154216.78300000002,155896.4879452259
1,0,1.0,2386433,2172970,1338.4022310044143,1466.7702280899193,96941.77899999973,99746.95145909407
1,2,1.0,2386433,2819846,1338.4022310044143,3970.9594986091934,111026.34099999985,116335.70272961346
1,3,1.0,2386433,5239201,1338.4022310044143,9586.081559714201,127938.08500000004,138862.56879071865
1,72,1.0,2386433,3541826,1338.4022310044143,37.37705217830794,134456.21300000013,135831.99228318286
2,0,1.0,2819846,2172970,3970.9594986091934,1466.7702280899193,65307.537000000055,70745.26672669918
2,1,1.0,2819846,2386433,3970.9594986091934,1338.4022310044143,111026.34100000007,116335.70272961368
2,3,1.0,2819846,5239201,3970.9594986091934,9586.081559714201,125805.61100000014,139362.65205832353
3,1,1.0,5239201,2386433,9586.081559714201,1338.4022310044143,127938.0850000002,138862.5687907188
3,2,1.0,5239201,2819846,9586.081559714201,3970.9594986091934,125805.61099999968,139362.65205832306
4,5,1.0,329372,589738,366.2641514690994,105.78022138373734,126341.64999999998,126813.69437285283
4,6,1.0,329372,362116,366.2641514690994,1782.7728694352263,153814.93600000005,155963.97302090438
4,8,1.0,329372,9449584,366.2641514690994,166.5245344926158,60259.324,60792.112685961714
4,31,1.0,329372,5534851,366.2641514690994,106.49652823703757,193439.76999999947,193912.5306797056
5,4,1.0,589738,329372,105.78022138373734,366.2641514690994,126341.65000000007,126813.69437285291
5,7,1.0,589738,9555572,105.78022138373734,124.7473483346421,64412.323000000026,64642.8505697184
5,30,1.0,589738,9599010,105.78022138373734,769.7778781054706,98262.23599999977,99137.79409948898
6,4,1.0,362116,329372,1782.7728694352263,366.2641514690994,153814.93599999984,155963.97302090417
6,8,1.0,362116,9449584,1782.7728694352263,166.5245344926158,103472.85000000024,105422.14740392809
6,16,1.0,362116,5912709,1782.7728694352263,330.7983301559857,157640.6830000006,159754.2541995918
6,17,1.0,362116,900406,1782.7728694352263,820.7902310705001,183012.54999999958,185616.11310050532
6,31,1.0,362116,5534851,1782.7728694352263,106.49652823703757,166469.99099999954,168359.2603976718
6,32,1.0,362116,3981701,1782.7728694352263,85.27151010935611,134959.94000000015,136827.98437954474
6,62,1.0,362116,857053,1782.7728694352263,350.0150295871205,167675.905,169808.69289902234
7,5,1.0,9555572,589738,124.7473483346421,105.78022138373734,64412.323,64642.85056971837
7,16,1.0,9555572,5912709,124.7473483346421,330.7983301559857,80421.31000000003,80876.85567849065
7,30,1.0,9555572,9599010,124.7473483346421,769.7778781054706,88155.64299999984,89050.16822643994
8,4,1.0,9449584,329372,166.5245344926158,366.2641514690994,60259.32400000002,60792.112685961736
8,6,1.0,9449584,362116,166.5245344926158,1782.7728694352263,103472.85000000017,105422.14740392801
8,16,1.0,9449584,5912709,166.5245344926158,330.7983301559857,119733.79399999995,120231.11686464856
9,53,1.0,17609,6452828,85.41660389459008,198.7572806204985,55604.90299999995,55889.07688451504
9,56,1.0,17609,6579769,85.41660389459008,69.70570912278009,51138.108,51293.230313017375
10,13,1.0,1966854,1229758,4558.911828323892,4054.4604145247326,196903.27800000005,205516.65024284867
