arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Canjiidle,9,2,3,4,True,Drought,Ethiopia
Kainey,9,2,4,3,True,Drought,Tuulo dholin village.
Camp 1,6,1,2,3,True,Drought,Xamxamaa
Bansaable,5,1,2,2,True,Drought,Sarmaan
Imey,3,1,1,1,True,Eviction,October
Camp Returnees,37,10,15,12,True,Conflict,gaanugaay
Dal Io Duur,8,1,1,6,True,Conflict,Barwaaqo
Weel Tugar,5,1,1,3,True,Drought,Humbowe
Weeyl Daage,4,1,1,2,True,Drought,Xirmo waamo
Nuurkaa,3,1,1,1,True,Drought,Buulo Madey
Maraylar,4,0,1,3,True,Eviction,October
Caro Case,4,1,1,2,True,Conflict,October
Kurman Waberi,61,15,19,27,True,Conflict,baciidlay
Moori Dhir,5,2,2,1,True,Drought,Gurdaale
Garas Goof,4,1,1,2,True,Drought,Sarman
Tuuri Mow,11,2,2,7,True,Conflict,Barwaaqo
Tawakal,6,1,1,4,True,Flood,Israc
Kuusow,25,5,6,14,True,Conflict,Jambaluul and Gaalawar
Liban IDP,44,10,15,19,True,Conflict,baciidlay
Camp Jadiid,1,1,0,0,True,Drought,Dhato
Al-amin,10,3,4,3,True,Drought,Al-amin
Xaafito,21,2,5,14,True,Drought,Dolow
Qooneey,7,2,2,3,True,Conflict,Adan Yabaal
Jawaabsan,15,3,4,8,True,Conflict,Xawaadley
Matalimiin,6,2,2,2,True,Drought,Jiidow
Qurac Dheer,11,2,3,6,True,Conflict,Mukedheere
Shimbirow,2,1,1,0,True,Drought,Shimbirow village
Mowkubow,5,1,2,2,True,Drought,Uffurow
Weel Golool,12,3,4,5,True,Drought,Tugar hosle
Tufka,24,8,10,6,True,Drought,Ufurow
Gubataay,4,1,1,2,True,Drought,Yurkud 
Donka Burfule,33,8,10,15,True,Flood,Lebiga and Xansholey 
Ceelkoshin,9,2,2,5,True,Drought,Ethiopia
Celasha,5,1,1,3,True,Drought,Ethiopia
Waberi2,18,6,5,7,True,Drought,Gurbaan
Maqbuul camp,3,1,1,1,True,Conflict,October
Hiran,2,0,1,1,True,Eviction,October
Camp bulogedoyo,33,3,9,21,True,Conflict,Farbiito
Adaayimow,4,1,1,2,True,Drought,Abal
Gabaa Degsoy,5,1,2,2,True,Drought,Xudur 
Towsile 3,6,2,2,2,True,Drought,Luuq 
New Qam-Qam,6,1,2,3,True,Conflict,Turde
Buulo-Nurka,6,1,2,3,True,Drought,Deebey
Hiiraan,6,0,2,4,True,Drought,Qoryooley
Tawsiil 2,5,2,1,2,True,Drought,Sarmaan
Lascaanod,6,2,2,2,True,Drought,Rabdhuure 
Amin Robow,2,1,1,0,True,Drought,Shibeelow
Dingras,4,1,1,2,True,Conflict,October
Muuriye,4,1,1,2,True,Conflict,OCTOBER
Qasaley,30,9,12,9,True,Drought,Baardheere
Wehelow,30,11,9,10,True,Drought,Bulo hadame
Blook,39,11,13,15,True,Conflict,Bursho Sheikh 
Xagar,40,5,15,20,True,Drought,Sagaal geed and Enamey
Bundogadud,10,3,4,3,True,Drought,Baidoa 
Burti Muun,5,1,1,3,True,Drought,Deg-garas
Istanbul IDP,7,1,2,4,True,Conflict,Barsanguni 
Dogob,4,0,1,3,True,Drought,Guba
Kakaney,2,1,1,0,True,Drought,Buur dhuxunli 
Koron Koor,5,1,2,2,True,Drought,Sarman
Kulan Jareer,4,0,2,2,True,Drought,Kulanjareer village
Taagsade,6,1,2,3,True,Conflict,Qoryooley
Suuldheere,4,1,1,2,True,Drought,Garsaaley
Taakulo,21,4,5,12,True,Conflict,Buulo madiina and Gaalawar
Saafi,21,3,8,10,True,Conflict,Sabiib
Abal-5,3,1,1,1,True,Drought,Sarmaan
Shiikh ibrahim,4,1,2,1,True,Conflict,October
Bula Gedi,26,7,8,11,True,Conflict,kormari
Maaido camp,11,2,2,7,True,Conflict,Mukedheere
Waregta,6,2,2,2,True,Conflict,Sablale 
Ganane,4,2,1,1,True,Drought,Qasa oomana 
Isdhoorte,6,2,1,3,True,Drought,Xinshilow 
Buulo Bacleey,6,1,2,3,True,Flood,Israc
Dhurshenshibele,4,1,2,1,True,Drought,Dhurshenshabele village
Haluul Iyo Hargan,7,2,2,3,True,Drought,Usmail 
Yaaq Braawe,5,1,2,2,True,Drought,Kurtun
War-Garas,24,7,8,9,True,Drought,Deg-Gomor
Kanaanah,4,1,1,2,True,Drought,Barakow
Yaaq Barawey,4,1,1,2,True,Drought,Buur helade
Hiidoorow,19,4,5,10,True,Conflict,Buulo madiina and sabiib
Barako,6,2,2,2,True,Conflict,Harbole
Sariiraale,37,9,12,16,True,Flood,Lebiga
Towfiq,31,8,9,14,True,Flood,Lebiga
Senilow,2,1,1,0,True,Drought,Senilow village
Iftin IDP,16,2,6,8,True,Conflict,safar noolaay
Dayax,4,1,1,2,True,Drought,Xudur town
Abag-Tag,4,1,1,2,True,Drought,Kaysaney
Beerlamow,2,1,1,0,True,Drought,Tugeerhoos
Warhinshile,6,1,2,3,True,Drought,Buur Cadey
War Hussein,6,2,2,2,True,Drought,Madawaraabe 
Warjire,5,1,2,2,True,Drought,Ceel berde 
Mariya,18,3,5,10,True,Conflict,Buulo madiina
Elbet-1,3,1,1,1,True,Drought,Eesow
Mogor Iyo Mayow-1,3,1,1,1,True,Drought,Diinsoor
Koonfur Bari,2,0,2,0,True,Drought,Doygaab village
Celgodow,4,1,2,1,True,Drought,Ceel Cedow village
Gargaar,8,1,1,6,True,Drought,Carfuuda
Mukubow,8,3,2,3,True,Drought,Mukubow
Babawiine,6,1,2,3,True,Drought,"Dhanfaruur village,"
