gadm_idx,wb_idx,centroid_dist,gadm_name,wb_name
23,6541,12.733123256477988,CeelDheer,Ceel Dheer
9,6531,218.4399631275833,Mogadisho,Banadir
31,6545,338.59065045460994,BeledWeyn,Belet Weyne
22,6540,344.5195608120197,CeelBuur,Ceel Buur
6,6528,544.2536577100541,Tiyeeglow,Tayeeglow
32,6546,553.6145839963933,BuuloBurdo,Bulo Burto
62,6566,571.3998480581691,WanlaWeyn,Wanla Weyn
7,6529,646.6405019563628,Wajid,Waajid
45,6552,680.515301530075,Xarardheere,Xarardheere
65,6569,733.5238224093295,Taleex,Taleex
24,6542,773.7345823088082,Dhuusamareeb,Dhuusamarreeb
39,8870,824.1405952418953,Jamaame,Jamaame
47,6554,836.0007044956058,Eyl,Eyl
8,6530,872.467870998318,Xudur,Xudur
11,6533,1039.2037755576234,Bosaaso,Bossaso
55,6562,1120.8650704865734,Jawhar,Jowhar
37,8868,1200.1640843942957,Afmadow,Afmadow
36,8867,1215.5647553490771,Saakow,Saakow
5,6527,1362.8552008489512,RabDhuure,Rab Dhuure
43,6550,1368.0215178518183,Hobyo,Hobyo
17,8858,1405.4669580966606,BuurXakaba,Buur Hakaba
41,6548,1409.4009210221998,Gaalkacayo,Gaalkacyo
58,8873,1421.8192560975467,Kuntuwaaray,Kurtunwaarey
50,6557,1421.9090377209761,Ceel-Afwein,Ceel Afweyn
16,8857,1446.9724914648561,Baydhabo,Baydhaba
26,8862,1447.624860162902,BeledXaawo,Belet Xaawo
4,6526,1542.3392198619783,CeelBarde,Ceel Barde
35,8866,1572.0837823555505,Jilib,Jilib
40,8871,1584.1581475896528,Kismaayo,Kismaayo
53,6560,1618.4137341086905,Balcad,Balcad
19,8860,1639.377588375915,QansaxDheere,Qansax Dheere
18,8859,1650.0173580299215,Diinsoor,Diinsoor
3,6525,1650.6037579670535,Zeylac,Zeylac
44,6551,1682.2651791157223,Jariiban,Jariiban
66,6570,1763.632143009033,Xudun,Xudun
61,8874,1769.4832408570187,Sablale,Sablaale
72,6576,1789.0383078062819,Gabiley,Gebiley
33,6547,1819.3664931507512,Jalalaqsi,Jalalaqsi
25,8861,1829.9671249996973,Baar-Dheere,Baardheere
29,8864,1844.3755137485043,Garbahaaray,Garbahaarey
56,6563,1884.812758240303,Afgooye,Afgooye
10,6532,1922.99128541502,Bander-Beyla,Bandarbeyla
2,6524,1928.6392670966652,Lughaya,Lughaye
38,8869,2031.1539630695095,Badhaadhe,Badhaadhe
30,6544,2050.9364704751188,Luuk,Luuq
0,6522,2052.4378349763733,Baki,Baki
52,6559,2116.212108006447,Aadan,Adan Yabaal
21,6539,2185.410551540121,Cadaado,Cadaado
12,6534,2207.498364733655,Calawla,Caluula
73,6577,2221.950770785523,Hargeysa,Hargeysa
14,6536,2225.5330068855737,Qandala,Qandala
60,6565,2249.9327616119463,Qoryooley,Qoryooley
1,6523,2291.873973550879,Boorama,Borama
68,6572,2301.1611659461464,Buuhoodle,Buuhoodle
63,6567,2308.6207146520437,Caynabo,Caynabo
69,6573,2341.079741503295,Oodweyne,Owdweyne
27,8863,2597.8779201032958,CeelWaaq,Ceel Waaq
54,6561,2618.0087608602753,Cadale,Cadale
71,6575,2774.8019560300527,Berbera,Berbera
59,6564,2864.391740087772,Marka,Marka
34,8865,2869.973501610361,Bu'aale,Bu'aale
70,6574,2887.214249163536,Sheekh,Sheikh
57,8872,2994.3937437492227,Baraawe,Baraawe
49,6556,3077.815449657853,Badhan,Laasqoray
51,6558,3112.98677820215,Ceerigaabo,Ceerigaabo
67,6571,3196.104057797205,Burao,Burco
42,6549,3331.4325347520535,Goldogob,Galdogob
46,6553,3341.0350927978193,Burtinle,Burtinle
15,6537,3536.2317997049436,Qardho,Qardho
28,6543,3867.808256867165,Dolow,Doolow
20,6538,4079.4001370643346,Caabudwaaq,Cabudwaaq
13,6535,4125.661360646094,Iskushuban,Iskushuban
48,6555,8962.63907200207,Garoowe,Garoowe
64,6568,10246.121174295726,Lascaanod,Laas Caanood
